Internal DNS,DPE-DES,1.00,0.17,0.75,1.00,0.85,0.00,0.67,0.33,0.33,0.63
IronClad,DPE-DES,0.86,0.17,1.00,1.00,0.46,1.00,0.67,1.00,0.17,0.63
Marketo,DPE-DAA,1.00,0.33,1.00,1.00,0.54,0.25,0.80,0.00,0.33,0.63
Navex Global,DPE-DES,0.86,0.17,1.00,1.00,0.46,1.00,0.67,1.00,0.17,0.63
Pelican Orders,DPE-SPG,1.00,0.83,0.75,0.56,0.77,0.75,0.00,0.67,0.83,0.63
Pelican Subscriptions,DPE-SPG,0.86,0.83,0.75,0.44,0.77,1.00,0.00,1.00,0.83,0.63
Provisioning,MCP-Cloud Platform,1.00,0.33,0.50,1.00,0.62,0.50,0.47,0.33,1.00,0.63
Revit Live,DCP-Entertainment Creation Products,1.00,1.00,0.75,0.56,0.31,0.50,0.50,0.67,0.83,0.63
SPOC-Cart,DPE-SPG,0.86,0.83,0.75,0.89,0.77,0.50,0.00,1.00,0.50,0.63
Zoom,DPE-DES,0.86,1.00,0.75,1.00,0.85,0.00,0.27,0.67,0.50,0.63
DivvyCloud,DPE-DES,0.14,0.50,0.75,0.44,0.77,0.25,1.00,0.33,0.83,0.62
Green Box,DPE-SPG,1.00,0.83,0.50,0.67,0.62,1.00,0.09,1.00,0.50,0.62
SPOC-IPP,DPE-SPG,0.86,0.83,0.75,0.89,0.69,0.50,0.00,1.00,0.50,0.62
SPOC-MOE,DPE-SPG,0.86,0.67,0.75,1.00,0.69,0.50,0.00,1.00,0.50,0.62
CyberSource,DPE-DBP,0.71,0.17,0.00,1.00,0.92,0.00,0.80,1.00,0.17,0.61
Help Hub,DPE-DES,0.71,0.50,0.50,1.00,0.46,0.50,0.62,0.67,0.67,0.61
Hydrogen,MCP-Cloud Platform,1.00,0.17,0.50,1.00,0.62,0.50,0.47,0.33,1.00,0.61
Innography,DPE-DES,0.71,0.17,1.00,1.00,0.46,1.00,0.67,1.00,0.17,0.61
Jenkins CD,MCP-Other,0.86,0.33,0.25,0.75,0.54,0.25,0.93,0.00,0.67,0.61
Net Documents,DPE-DES,0.86,0.17,1.00,1.00,0.46,0.75,0.67,0.67,0.33,0.61
Pricing Data Service (for Web),DPE-DEC,0.86,0.67,0.50,1.00,0.54,0.75,0.47,0.67,0.50,0.61
Serengeti Tracker,DPE-DES,1.00,0.17,1.00,1.00,0.31,0.75,0.67,1.00,0.33,0.61
Clearwell,DPE-DES,0.71,0.17,1.00,1.00,0.46,1.00,0.60,1.00,0.17,0.60
Digital Help - Beehive,DPE-DHX,0.86,0.50,0.50,1.00,0.54,0.75,0.40,0.33,0.83,0.60
Lecorpio,DPE-DES,0.86,0.17,1.00,1.00,0.38,1.00,0.60,1.00,0.17,0.60
Partner Web Services (Service Layer),DPE-SPG,0.71,0.67,1.00,0.56,0.23,1.00,0.55,1.00,0.67,0.60
SCCM,DPE-DES,0.86,0.33,0.75,1.00,0.62,0.00,0.73,0.67,0.17,0.60
SPOC-MailBroker,DPE-SPG,0.71,0.83,0.75,0.89,0.62,0.50,0.00,1.00,0.50,0.59
3dsMax AssetStore,DCP-Entertainment Creation Products,0.43,0.50,0.75,0.78,0.54,0.50,0.70,0.33,0.50,0.58
Heroku,DPE-DAA,1.00,0.33,1.00,1.00,0.54,0.25,0.33,0.33,0.83,0.58
Tinkercad Backend,MCP-Other,0.57,1.00,0.75,1.00,0.38,0.75,0.40,0.67,0.50,0.58
Aqua,MCP-Other,0.71,0.17,0.25,0.78,0.46,0.00,0.90,0.00,1.00,0.56
EMAIL,DPE-DES,1.00,0.33,0.75,1.00,0.77,0.00,0.47,0.33,0.17,0.56
Infraworks LMV Extractor (IWLMW),DCP-Building Infrastructure Design,0.57,0.50,0.00,0.78,0.38,0.50,1.00,0.33,0.50,0.56
KMS-Internal,DPE-DES,1.00,0.33,0.75,1.00,0.69,0.00,0.53,0.33,0.17,0.56
Moldflow (SIM360),MCP-Manufacturing,0.86,1.00,0.75,1.00,0.23,1.00,0.20,0.00,1.00,0.56
SPOC- Amart,DPE-SPG,0.86,0.67,0.50,0.89,0.62,0.25,0.00,0.67,0.67,0.56
Autodesk CFD,MCP-Other,0.43,0.83,0.50,0.75,0.38,0.50,0.40,1.00,0.83,0.55
Certificate Service - Internal,DPE-DES,0.86,0.17,0.75,1.00,0.69,0.00,0.60,0.33,0.17,0.55
Design Graph (Private Beta),MCP-Cloud Platform,0.71,1.00,0.50,0.50,0.23,1.00,0.33,0.67,0.83,0.55
DHCP,DPE-DES,0.86,0.00,0.75,1.00,0.69,0.00,0.73,0.33,0.00,0.55
Quantum,MCP-Construction,0.57,0.67,1.00,0.25,0.38,1.00,0.33,0.67,0.83,0.55
Autodesk Learning Central (ALC),DPE-DES,0.86,0.50,1.00,0.44,0.23,0.00,1.00,0.00,0.50,0.54
BIM 360 Ops,MCP-Construction,1.00,0.50,0.00,1.00,0.38,0.50,0.53,0.33,0.50,0.53
Forge CMS Framework (AU Online),DPE-DHX,0.57,0.33,1.00,1.00,0.31,1.00,0.25,0.67,0.83,0.53
Mojo Terminus,DPE-DAA,0.86,0.33,0.25,1.00,0.69,0.25,0.40,0.33,0.50,0.53
Office 365,DPE-DES,0.86,0.33,0.75,1.00,0.85,0.00,0.07,1.00,0.50,0.53
Quark,MCP-Construction,0.43,0.33,1.00,0.75,0.31,0.75,0.53,0.33,0.83,0.53
Revit Fabrication Data Manager (Not shipping in FY19),DCP-Building Infrastructure Design,0.29,0.50,0.75,0.33,0.62,1.00,0.50,0.00,0.83,0.53
Chef,DPE-DES,0.71,0.33,0.75,1.00,0.54,0.25,0.40,0.33,0.50,0.52
Fusion ECAD Web Service,MCP-Manufacturing,0.29,0.33,0.75,1.00,0.08,0.50,1.00,0.00,0.50,0.52
Plant Collaboration Services,DCP-AutoCAD Family,0.43,0.67,1.00,0.75,0.38,0.25,0.53,0.33,0.50,0.52
Vertex,DPE-DES,0.71,0.33,1.00,1.00,0.77,0.50,0.13,0.67,0.17,0.52
Web Install Server,DPE-SPG,0.71,0.83,0.75,0.67,0.62,0.25,0.00,1.00,0.33,0.52
Dynamo Package Manager,DCP-Building Infrastructure Design,0.43,0.33,1.00,0.56,0.31,0.50,0.50,0.00,1.00,0.50
ECCR Tableau,DPE-SPG,1.00,0.67,0.75,1.00,0.69,0.00,0.06,0.33,0.33,0.50
RedCar,DPE-SPG,1.00,0.67,0.00,0.75,0.38,0.75,0.25,0.67,0.50,0.50
Security Weaver,DPE-DES,0.71,0.50,0.00,1.00,0.62,0.50,0.40,0.67,0.17,0.50
Person Master,DPE-DAA,1.00,0.50,1.00,0.56,0.46,0.25,0.00,0.33,0.67,0.49
Configurator 360,DCP-Product Design,0.29,0.67,0.50,0.44,0.23,1.00,0.40,0.67,0.83,0.48
HCVault,MCP-Other,0.57,0.17,0.00,0.75,0.46,0.00,0.93,0.00,0.17,0.47
Secret Server,DPE-DES,0.43,0.17,0.75,1.00,0.62,0.25,0.40,0.00,0.50,0.47
Jira,DPE-DES,0.43,0.00,0.75,1.00,0.54,0.00,0.47,0.33,0.50,0.45
Vault,DPE-DES,0.71,0.00,0.75,1.00,0.54,0.00,0.40,0.00,0.50,0.45
Wireless - Campus,DPE-DES,0.86,0.67,0.00,1.00,0.38,0.00,0.53,0.33,0.00,0.45
Denodo,DPE-DES,0.71,0.17,0.00,0.44,0.62,1.00,0.00,0.67,0.50,0.44
Digital Help - AVA,DPE-DHX,0.57,0.17,0.00,0.75,0.23,0.50,0.73,0.33,0.33,0.44
Digital Help - Screencast,DPE-DHX,0.57,0.17,0.00,0.75,0.15,0.50,0.73,0.33,0.50,0.44
Digital Workplace,DPE-DES,0.43,0.50,0.00,1.00,0.38,0.25,0.53,0.33,0.33,0.44
Sysdig,MCP-Other,0.71,0.33,0.25,0.75,0.08,0.00,0.93,0.00,0.17,0.44
AOE,DPE-SPG,0.71,0.67,1.00,0.75,0.38,0.50,0.06,0.33,0.17,0.42
Digital Help - Transaction Widget,DPE-DHX,0.43,0.17,0.00,0.75,0.23,0.50,0.73,0.33,0.33,0.42
Splunk,DPE-DES,0.57,0.00,0.75,1.00,0.46,0.00,0.40,0.00,0.50,0.42
Alias Desktop products with Shared View,DCP-Automotive & Conceptual Design,0.14,0.67,0.00,1.00,0.08,0.75,0.67,0.00,0.33,0.40
Apigee,DPE-DES,0.86,0.67,1.00,1.00,0.54,0.00,0.00,0.00,0.00,0.40
EAGLE Content Server,MCP-Manufacturing,0.57,0.50,1.00,1.00,0.23,0.50,0.13,0.00,0.50,0.40
FormIt Pro,MCP-Construction,0.29,1.00,0.75,0.25,0.23,1.00,0.00,0.00,1.00,0.40
Quay,DPE-DES,0.71,0.00,0.75,1.00,0.31,0.00,0.40,0.00,0.50,0.40
Storebox,DPE-DES,0.43,0.00,0.00,1.00,0.62,0.00,0.53,0.00,0.33,0.40
Wiki,DPE-DES,0.43,0.00,0.75,1.00,0.46,0.00,0.40,0.00,0.50,0.40
Digital Help - AKN Website,DPE-DHX,0.71,0.17,0.00,0.75,0.23,0.50,0.47,0.00,0.50,0.39
Digital Help - Services Marketplace,DPE-DHX,0.57,0.17,0.00,0.75,0.15,0.50,0.67,0.00,0.33,0.39
Digital Help - Unified Profile,DPE-DHX,0.57,0.17,0.00,0.75,0.15,0.25,0.80,0.00,0.17,0.39
Elastic,DPE-DES,0.43,0.00,0.75,1.00,0.46,0.00,0.33,0.00,0.50,0.39
Factory Asset Warehouse,MCP-Other,0.43,0.33,0.75,1.00,0.31,0.50,0.13,0.33,0.50,0.39
VRED (desktop product with shared views since 2019),DCP-Automotive & Conceptual Design,0.29,0.67,0.00,1.00,0.00,0.75,0.60,0.00,0.33,0.39
Forge HFRS,MCP-Cloud Platform,0.29,0.50,0.25,0.22,0.00,1.00,0.50,0.00,1.00,0.37
Java Activation Apps,DPE-SPG,0.57,0.50,0.00,1.00,0.38,0.25,0.12,0.33,0.50,0.37
